kode_negara,tahun,produksi
JPN,Tahun 1976,584.695
JPN,Tahun 1977,597.891
JPN,Tahun 1978,547.136
JPN,Tahun 1979,487.246
JPN,Tahun 1980,436.491
JPN,Tahun 1981,394.872
JPN,Tahun 1982,211.14
JPN,Tahun 1983,210.125
JPN,Tahun 1984,212.155
JPN,Tahun 1985,347.163
JPN,Tahun 1986,463.898
JPN,Tahun 1987,441.566
JPN,Tahun 1988,419.234
JPN,Tahun 1989,368.48
JPN,Tahun 1990,365.251
JPN,Tahun 1991,578.795
JPN,Tahun 1992,622.473
JPN,Tahun 1993,571.101
JPN,Tahun 1994,541.479
JPN,Tahun 1995,540.361
JPN,Tahun 1996,522.09
JPN,Tahun 1997,498.705
JPN,Tahun 1998,431.395
JPN,Tahun 1999,370.553
JPN,Tahun 2000,334.729
JPN,Tahun 2001,289.607
JPN,Tahun 2002,255.359
JPN,Tahun 2003,297.75
JPN,Tahun 2004,296.359
JPN,Tahun 2005,320.619
JPN,Tahun 2006,284.168
JPN,Tahun 2007,289.402
JPN,Tahun 2008,294.642
JPN,Tahun 2009,268.203
JPN,Tahun 2010,253.147
JPN,Tahun 2011,246.024
JPN,Tahun 2012,242.786
JPN,Tahun 2013,229.179
JPN,Tahun 2014,227.151
JPN,Tahun 2015,209.912
KOR,Tahun 1971,0
KOR,Tahun 1972,0
KOR,Tahun 1973,0
KOR,Tahun 1974,0
KOR,Tahun 1975,0
KOR,Tahun 1976,0
KOR,Tahun 1977,0
KOR,Tahun 1978,0
KOR,Tahun 1979,0
KOR,Tahun 1980,0
KOR,Tahun 1981,0
KOR,Tahun 1982,0
KOR,Tahun 1983,0
KOR,Tahun 1984,0
KOR,Tahun 1985,0
KOR,Tahun 1986,0
KOR,Tahun 1987,0
KOR,Tahun 1988,0
KOR,Tahun 1989,0
KOR,Tahun 1990,0
KOR,Tahun 1991,0
KOR,Tahun 1992,0
KOR,Tahun 1993,0
KOR,Tahun 1994,0
KOR,Tahun 1995,0
KOR,Tahun 1996,0
KOR,Tahun 1997,0
KOR,Tahun 1998,0
KOR,Tahun 1999,0
KOR,Tahun 2000,0
KOR,Tahun 2001,0
KOR,Tahun 2002,0
KOR,Tahun 2003,0
KOR,Tahun 2004,0
KOR,Tahun 2005,55.073
KOR,Tahun 2006,45.894
KOR,Tahun 2007,31.616
KOR,Tahun 2008,21.417
KOR,Tahun 2009,42.835
KOR,Tahun 2010,54.053
KOR,Tahun 2011,39.775
KOR,Tahun 2012,36.715
KOR,Tahun 2013,39.775
KOR,Tahun 2014,27.537
KOR,Tahun 2015,17.338
LUX,Tahun 1971,0
LUX,Tahun 1972,0
LUX,Tahun 1973,0
LUX,Tahun 1974,0
LUX,Tahun 1975,0
LUX,Tahun 1976,0
LUX,Tahun 1977,0
LUX,Tahun 1978,0
LUX,Tahun 1979,0
LUX,Tahun 1980,0
LUX,Tahun 1981,0
LUX,Tahun 1982,0
LUX,Tahun 1983,0
LUX,Tahun 1984,0
LUX,Tahun 1985,0
LUX,Tahun 1986,0
LUX,Tahun 1987,0
LUX,Tahun 1988,0
LUX,Tahun 1989,0
LUX,Tahun 1990,0
LUX,Tahun 1991,0
LUX,Tahun 1992,0
LUX,Tahun 1993,0
LUX,Tahun 1994,0
LUX,Tahun 1995,0
LUX,Tahun 1996,0
LUX,Tahun 1997,0
LUX,Tahun 1998,0
LUX,Tahun 1999,0
LUX,Tahun 2000,0
LUX,Tahun 2001,0
LUX,Tahun 2002,0
LUX,Tahun 2003,0
LUX,Tahun 2004,0
LUX,Tahun 2005,0
LUX,Tahun 2006,0
LUX,Tahun 2007,0
LUX,Tahun 2008,0
LUX,Tahun 2009,0
LUX,Tahun 2010,0
LUX,Tahun 2011,0
LUX,Tahun 2012,0
LUX,Tahun 2013,0
LUX,Tahun 2014,0
LUX,Tahun 2015,0
MEX,Tahun 1971,23640.056
MEX,Tahun 1972,24583.797
MEX,Tahun 1973,25089.553
MEX,Tahun 1974,31734.178
MEX,Tahun 1975,39030.216
MEX,Tahun 1976,44031.134
MEX,Tahun 1977,53667.812
MEX,Tahun 1978,66210.565
MEX,Tahun 1979,79816.418
MEX,Tahun 1980,108249.02
MEX,Tahun 1981,129089.209
MEX,Tahun 1982,152631.148
MEX,Tahun 1983,147751.612
MEX,Tahun 1984,149434.769
MEX,Tahun 1985,145792.313
MEX,Tahun 1986,135181.548
MEX,Tahun 1987,142214.593
MEX,Tahun 1988,140729.693
MEX,Tahun 1989,140789.373
MEX,Tahun 1990,141060.324
MEX,Tahun 1991,148968.766
MEX,Tahun 1992,147940.489
MEX,Tahun 1993,149137.526
MEX,Tahun 1994,147729.865
MEX,Tahun 1995,144539.08
MEX,Tahun 1996,151053.044
MEX,Tahun 1997,162245.691
MEX,Tahun 1998,159320.512
MEX,Tahun 1999,157198.097
MEX,Tahun 2000,157636.505
MEX,Tahun 2001,164989.176
MEX,Tahun 2002,168332.615
MEX,Tahun 2003,179107.48
MEX,Tahun 2004,179813.71
MEX,Tahun 2005,180468.109
MEX,Tahun 2006,176023.493
MEX,Tahun 2007,165204.28
MEX,Tahun 2008,149574.329
MEX,Tahun 2009,146731.525
MEX,Tahun 2010,136881.197
MEX,Tahun 2011,135879.108
MEX,Tahun 2012,142421.594
MEX,Tahun 2013,139912.757
MEX,Tahun 2014,134435.57
MEX,Tahun 2015,125360.483
NLD,Tahun 1971,1748.102
NLD,Tahun 1972,1628.774
NLD,Tahun 1973,1521.685
NLD,Tahun 1974,1490.068
NLD,Tahun 1975,1447.232
NLD,Tahun 1976,1398.277
NLD,Tahun 1977,1409.496
NLD,Tahun 1978,1429.894
NLD,Tahun 1979,1342.183
NLD,Tahun 1980,1305.467
NLD,Tahun 1981,1374.82
NLD,Tahun 1982,1669.57
NLD,Tahun 1983,2640.51
NLD,Tahun 1984,3163.717
NLD,Tahun 1985,3802.172
NLD,Tahun 1986,4720.078
NLD,Tahun 1987,4376.373
NLD,Tahun 1988,3986.773
NLD,Tahun 1989,3458.467
NLD,Tahun 1990,3603.292
NLD,Tahun 1991,3322.821
NLD,Tahun 1992,2901.604
NLD,Tahun 1993,2725.162
NLD,Tahun 1994,3505.382
NLD,Tahun 1995,2775.137
NLD,Tahun 1996,2265.189
NLD,Tahun 1997,2110.165
NLD,Tahun 1998,1749.08
NLD,Tahun 1999,1625.676
NLD,Tahun 2000,1471.675
NLD,Tahun 2001,1397.225
NLD,Tahun 2002,2276.354
NLD,Tahun 2003,2349.785
NLD,Tahun 2004,2147.85
NLD,Tahun 2005,1521.649
NLD,Tahun 2006,1374.787
NLD,Tahun 2007,2109.095
NLD,Tahun 2008,1765.398
NLD,Tahun 2009,1338.072
NLD,Tahun 2010,1040.269
NLD,Tahun 2011,1102.482
NLD,Tahun 2012,1133.078
NLD,Tahun 2013,1144.296
NLD,Tahun 2014,1555.305
NLD,Tahun 2015,1423.741
NZL,Tahun 1971,0
NZL,Tahun 1972,154.676
NZL,Tahun 1973,175.519
NZL,Tahun 1974,186.489
NZL,Tahun 1975,197.459
NZL,Tahun 1976,523.267
NZL,Tahun 1977,726.211
NZL,Tahun 1978,616.511
NZL,Tahun 1979,405.888
NZL,Tahun 1980,351.039
NZL,Tahun 1981,448.671
NZL,Tahun 1982,713.047
NZL,Tahun 1983,699.883
NZL,Tahun 1984,894.051
NZL,Tahun 1985,1313.103
NZL,Tahun 1986,1446.937
NZL,Tahun 1987,1297.791
NZL,Tahun 1988,1567.864
NZL,Tahun 1989,1765.779
NZL,Tahun 1990,1829.69
NZL,Tahun 1991,1922.463
NZL,Tahun 1992,1812.166
NZL,Tahun 1993,1920.401
NZL,Tahun 1994,1957.788
